[2023-09-29 00:07:22,468] ml_logger {DiffImpute.py:59} INFO - ### Init. Logger ml_logger ###
[2023-09-29 00:07:24,061] ml_logger {DiffImpute.py:378} INFO - ==================================================U-Net Model Training==================================================
[2023-09-29 00:07:25,967] ml_logger {DiffImpute.py:392} INFO - (epoch) 1 (batch) 0 (loss) 0.4632
[2023-09-29 00:07:34,392] ml_logger {DiffImpute.py:406} INFO - Model saved at CA/sampling_results/U-Net_epoch1.pt
[2023-09-29 00:07:34,392] ml_logger {DiffImpute.py:372} INFO - ==================================================MLP Model Training==================================================
[2023-09-29 00:07:34,419] ml_logger {DiffImpute.py:392} INFO - (epoch) 1 (batch) 0 (loss) 0.4178
[2023-09-29 00:07:35,570] ml_logger {DiffImpute.py:406} INFO - Model saved at CA/sampling_results/MLP_epoch1.pt
[2023-09-29 00:07:35,570] ml_logger {DiffImpute.py:374} INFO - ==================================================ResNet Model Training==================================================
[2023-09-29 00:07:35,598] ml_logger {DiffImpute.py:392} INFO - (epoch) 1 (batch) 0 (loss) 0.4988
[2023-09-29 00:07:37,303] ml_logger {DiffImpute.py:406} INFO - Model saved at CA/sampling_results/ResNet_epoch1.pt
[2023-09-29 00:07:37,303] ml_logger {DiffImpute.py:376} INFO - ==================================================Transformer Model Training==================================================
[2023-09-29 00:07:37,350] ml_logger {DiffImpute.py:392} INFO - (epoch) 1 (batch) 0 (loss) 0.4333
[2023-09-29 00:07:42,066] ml_logger {DiffImpute.py:406} INFO - Model saved at CA/sampling_results/FT_epoch1.pt
[2023-09-29 00:07:42,121] ml_logger {DiffImpute.py:466} INFO - Test score before training: 5.0919
[2023-09-29 00:07:42,151] ml_logger {DiffImpute.py:481} INFO - (epoch) 1 (batch) 0 (loss) 1.1625
[2023-09-29 00:07:43,023] ml_logger {DiffImpute.py:481} INFO - (epoch) 1 (batch) 64 (loss) 0.0531
[2023-09-29 00:07:43,057] ml_logger {DiffImpute.py:484} INFO - Epoch | Test score: 1.0198
[2023-09-29 00:07:43,099] ml_logger {DiffImpute.py:498} INFO - Model saved at CA/sampling_results/downstream_model_epoch1.pt
[2023-09-29 00:07:43,099] ml_logger {DiffImpute.py:501} INFO -  <<< BEST TEST EPOCH
[2023-09-29 00:07:43,099] ml_logger {DiffImpute.py:538} INFO - ==================================================U-Net Model Evaluation==================================================
[2023-09-29 00:07:52,706] ml_logger {DiffImpute.py:634} INFO - Repaint Imputation Loss:0.3615 at 1 column MAR:
[2023-09-29 00:07:52,707] ml_logger {DiffImpute.py:635} INFO - ------------------------------------------------------------------------------------------------------------------------
[2023-09-29 00:07:52,707] ml_logger {DiffImpute.py:636} INFO - Repaint Imputation Pearson Correlation:0.0025 at 1 column MAR:
[2023-09-29 00:07:52,707] ml_logger {DiffImpute.py:638} INFO - ------------------------------------------------------------------------------------------------------------------------
[2023-09-29 00:07:52,707] ml_logger {DiffImpute.py:639} INFO - Repaint Imputation Accuracy Score:1.0438 at 1 column MAR:
[2023-09-29 00:07:52,707] ml_logger {DiffImpute.py:532} INFO - ==================================================MLP Model Evaluation==================================================
[2023-09-29 00:07:54,441] ml_logger {DiffImpute.py:634} INFO - Repaint Imputation Loss:0.3614 at 1 column MAR:
[2023-09-29 00:07:54,441] ml_logger {DiffImpute.py:635} INFO - ------------------------------------------------------------------------------------------------------------------------
[2023-09-29 00:07:54,441] ml_logger {DiffImpute.py:636} INFO - Repaint Imputation Pearson Correlation:0.0010 at 1 column MAR:
[2023-09-29 00:07:54,442] ml_logger {DiffImpute.py:638} INFO - ------------------------------------------------------------------------------------------------------------------------
[2023-09-29 00:07:54,442] ml_logger {DiffImpute.py:639} INFO - Repaint Imputation Accuracy Score:1.0437 at 1 column MAR:
[2023-09-29 00:07:54,442] ml_logger {DiffImpute.py:534} INFO - ==================================================ResNet Model Evaluation==================================================
[2023-09-29 00:07:56,673] ml_logger {DiffImpute.py:634} INFO - Repaint Imputation Loss:0.3481 at 1 column MAR:
[2023-09-29 00:07:56,674] ml_logger {DiffImpute.py:635} INFO - ------------------------------------------------------------------------------------------------------------------------
[2023-09-29 00:07:56,674] ml_logger {DiffImpute.py:636} INFO - Repaint Imputation Pearson Correlation:0.0024 at 1 column MAR:
